id,name,code,district_id
1827,สำโรง,44170,1213
1828,สำโรง,10130,1541
1829,สำโรง,32000,1760
1830,สำโรง,31250,1620
1831,สำโรง,30150,1411
1832,สำโรง,30220,1161
1833,สำโรง,34330,1033
1834,สิงห์,16130,1389
1835,สิงห์,35000,1660
1836,สิงห์,71150,1166
1837,สีกัน,10210,1371
1838,สีกาย,43000,1743
1839,สีพยา,22120,1207
1840,สีมุม,30000,1795
1841,สีสุก,30230,1019
1842,สีสุก,30440,1719
1843,สุเทพ,50000,1782
1844,สุโสะ,92120,1410
1845,หน่อม,45160,1566
1846,หมูสี,30130,1249
1847,หย่วน,56110,1322
1848,หรเทพ,18130,1240
1849,หอไกร,66120,1525
1850,หันคา,17130,991
